# Standard US Atmosphere 1976 0-120km
# https://www.ngdc.noaa.gov/stp/space-weather/online-publications/miscellaneous/us-standard-atmosphere-1976/us-standard-atmosphere_st76-1562_noaa.pdf
# Height/km Temperature/K Pressure/mbar
0.00000	288.150	1013.25
1.00000	281.650	898.746
2.00000	275.150	794.952
3.00000	268.650	701.085
4.00000	262.150	616.402
5.00000	255.650	540.199
6.00000	249.150	471.810
7.00000	242.650	410.607
8.00000	236.150	355.998
9.00000	229.650	307.425
10.0000	223.150	264.363
11.0000	216.650	226.321
12.0000	216.650	193.304
13.0000	216.650	165.104
14.0000	216.650	141.018
15.0000	216.650	120.446
16.0000	216.650	102.875
17.0000	216.650	87.8668
18.0000	216.650	75.0484
19.0000	216.650	64.1001
20.0000	216.650	54.7489
21.0000	217.650	46.7789
22.0000	218.650	39.9979
23.0000	219.650	34.2243
24.0000	220.650	29.3049
25.0000	221.650	25.1102
26.0000	222.650	21.5309
27.0000	223.650	18.4746
28.0000	224.650	15.8629
29.0000	225.650	13.6296
30.0000	226.650	11.7187
31.0000	227.650	10.0823
32.0000	228.650	8.68019
33.0000	231.450	7.48228
34.0000	234.250	6.46122
35.0000	237.050	5.58924
36.0000	239.850	4.84317
37.0000	242.650	4.20367
38.0000	245.450	3.65455
39.0000	248.250	3.18220
40.0000	251.050	2.77522
41.0000	253.850	2.42395
42.0000	256.650	2.12030
43.0000	259.450	1.85738
44.0000	262.250	1.62937
45.0000	265.050	1.43135
46.0000	267.850	1.25910
47.0000	270.650	1.10906
48.0000	270.650	0.977545
49.0000	270.650	0.861623
50.0000	270.650	0.759448
51.0000	270.650	0.669389
52.0000	267.850	0.589622
53.0000	265.050	0.518668
54.0000	262.250	0.455632
55.0000	259.450	0.399700
56.0000	256.650	0.350137
57.0000	253.850	0.306274
58.0000	251.050	0.267509
59.0000	248.250	0.233296
60.0000	245.450	0.203143
61.0000	242.650	0.176606
62.0000	239.850	0.153287
63.0000	237.050	0.132826
64.0000	234.250	0.114900
65.0000	231.450	0.0992203
66.0000	228.650	0.0855275
67.0000	225.850	0.0735895
68.0000	223.050	0.0631992
69.0000	220.250	0.0541717
70.0000	217.450	0.0463422
71.0000	214.650	0.0395642
72.0000	212.650	0.0337176
73.0000	210.650	0.0286917
74.0000	208.650	0.0243773
75.0000	206.650	0.0206792
76.0000	204.650	0.0175140
77.0000	202.650	0.0148092
78.0000	200.650	0.0125012
79.0000	198.650	0.0105351
80.0000	196.650	0.00886280
81.0000	194.650	0.00744280
82.0000	192.650	0.00623905
83.0000	190.650	0.00522037
84.0000	188.650	0.00435981
85.0000	186.946	0.00363420
86.0000	186.946	0.00302723
87.0000 186.98 3.1259E-3
88.0000 187.03 2.6173E-3
89.0000 187.11 2.1919E-3
90.0000 187.21 1.8359E-3
95.0000 189.92 7.5966E-4
100.000 198.99 3.2011E-4
105.000 216.93 1.4477E-4
110.000 254.93 7.1042E-5
115.000 325.69 4.0096E-5
120.000 397.91 2.5382E-5
